GENESIS-Tabelle: 46241-06i
Anzahl der Unf‰lle nach Ortslage - Land - Monat;;;;;
Statistik der Straﬂenverkehrsunf‰lle;;;;;
Nordrhein-Westfalen;;;;;
;;Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte);Unf‰lle (polizeilich erfaﬂte)
;;Ortslage;Ortslage;Ortslage;Ortslage
;;Insgesamt;innerorts;auﬂerorts (ohne Autobahnen);auf Autobahnen
;;Anzahl;Anzahl;Anzahl;Anzahl
2023;Januar;5535;3980;1090;465
2023;Februar;5041;3645;998;398
2023;M‰rz;5630;4080;1112;438
2023;April;5300;3823;1034;443
2023;Mai;5545;3998;1160;387
2023;Juni;7263;5411;1376;476
2023;Juli;6056;4288;1222;546
2023;August;7075;5120;1415;540
2023;September;...;...;...;...
2023;Oktober;...;...;...;...
2023;November;...;...;...;...
2023;Dezember;...;...;...;...
2023;Insgesamt;-;-;-;-
2022;Januar;5494;3910;1153;431
2022;Februar;5145;3597;1097;451
2022;M‰rz;6509;4913;1185;411
2022;April;6079;4403;1255;421
2022;Mai;7772;5806;1486;480
2022;Juni;7384;5419;1462;503
2022;Juli;6306;4475;1376;455
2022;August;7922;5831;1597;494
2022;September;7546;5499;1449;598
2022;Oktober;7071;5150;1397;524
2022;November;6743;4988;1276;479
2022;Dezember;5815;4212;1145;458
2022;Insgesamt;79786;58203;15878;5705
2021;Januar;3887;2647;850;390
2021;Februar;3908;2607;931;370
2021;M‰rz;4704;3284;1017;403
2021;April;4532;3154;987;391
2021;Mai;5462;3834;1198;430
2021;Juni;7631;5608;1562;461
2021;Juli;6289;4388;1342;559
2021;August;6760;4692;1549;519
2021;September;7415;5437;1493;485
2021;Oktober;6812;4784;1448;580
2021;November;6326;4629;1254;443
2021;Dezember;6093;4361;1245;487
2021;Insgesamt;69819;49425;14876;5518
2020;Januar;5659;4216;1004;439
2020;Februar;5351;3810;1060;481
2020;M‰rz;4543;3274;919;350
2020;April;4647;3289;1072;286
2020;Mai;5693;4162;1184;347
2020;Juni;6192;4573;1207;412
2020;Juli;5886;4257;1248;381
